Description,Measure,Energy
"Beef; loin; top sirloin filet; boneless; separable lean only; trimmed to 0"" fat; select; cooked; grilled",1.0 fillet,190
"Beef; loin; top sirloin petite roast; boneless; separable lean only; trimmed to 0"" fat; all grades; cooked; roasted",3.0 oz,144
"Beef; loin; top sirloin petite roast; boneless; separable lean only; trimmed to 0"" fat; choice; cooked; roasted",3.0 oz,147
"Beef; loin; top sirloin petite roast; boneless; separable lean only; trimmed to 0"" fat; select; cooked; roasted",3.0 oz,140
"Beef; loin; top sirloin petite roast/filet; boneless; separable lean only; trimmed to 0"" fat; all grades; raw",3.0 oz,109
"Beef; loin; top sirloin petite roast/filet; boneless; separable lean only; trimmed to 0"" fat; choice; raw",3.0 oz,112
"Beef; loin; top sirloin petite roast/filet; boneless; separable lean only; trimmed to 0"" fat; select; raw",3.0 oz,104
Beef; New Zealand; imported; bolar blade; separable lean and fat; cooked; fast roasted,3.0 oz,194
Beef; New Zealand; imported; bolar blade; separable lean and fat; raw,4.0 oz,180
Beef; New Zealand; imported; bolar blade; separable lean only; cooked; fast roasted,3.0 oz,164
Beef; New Zealand; imported; bolar blade; separable lean only; raw,4.0 oz,146
Beef; New Zealand; imported; brisket naval end; separable lean and fat; cooked; braised,3.0 oz,385
Beef; New Zealand; imported; brisket naval end; separable lean and fat; raw,4.0 oz,390
Beef; New Zealand; imported; brisket naval end; separable lean only; cooked; braised,3.0 oz,225
Beef; New Zealand; imported; brisket naval end; separable lean only; raw,4.0 oz,219
Beef; New Zealand; imported; brisket point end; separable lean and fat; cooked; braised,3.0 oz,212
Beef; New Zealand; imported; brisket point end; separable lean and fat; raw,4.0 oz,184
Beef; New Zealand; imported; brisket point end; separable lean only; cooked; braised,3.0 oz,172
Beef; New Zealand; imported; brisket point end; separable lean only; raw,4.0 oz,141
Beef; New Zealand; imported; chuck eye roll; separable lean and fat; cooked; braised,3.0 oz,214
Beef; New Zealand; imported; chuck eye roll; separable lean and fat; raw,4.0 oz,205
Beef; New Zealand; imported; chuck eye roll; separable lean only; cooked; braised,1.0 serving,177
Beef; New Zealand; imported; cube roll; separable lean and fat; cooked; fast roasted,3.0 oz,243
Beef; New Zealand; imported; cube roll; separable lean and fat; raw,4.0 oz,254
Beef; New Zealand; imported; cube roll; separable lean only; cooked; fast roasted,3.0 oz,203
Beef; New Zealand; imported; cube roll; separable lean only; raw,4.0 oz,182
Beef; New Zealand; imported; eye round; separable lean and fat; cooked; slow roasted,3.0 oz,143
Beef; New Zealand; imported; eye round; separable lean and fat; raw,4.0 oz,146
Beef; New Zealand; imported; eye round; separable lean only; cooked; slow roasted,3.0 oz,139
Beef; New Zealand; imported; eye round; separable lean only; raw,4.0 oz,131
Beef; New Zealand; imported; flank; separable lean and fat; cooked; braised,3.0 oz,177
Beef; New Zealand; imported; flank; separable lean and fat; raw,4.0 oz,182
Beef; New Zealand; imported; flank; separable lean only; cooked; braised,3.0 oz,165
Beef; New Zealand; imported; flank; separable lean only; raw,4.0 oz,160
Beef; New Zealand; imported; flat; separable lean and fat; cooked; braised,3.0 oz,214
Beef; New Zealand; imported; flat; separable lean and fat; raw,4.0 oz,200
Beef; New Zealand; imported; flat; separable lean only; cooked; braised,3.0 oz,192
Beef; New Zealand; imported; flat; separable lean only; raw,4.0 oz,174
Beef; New Zealand; imported; heart; cooked; boiled,3.0 oz,152
Beef; New Zealand; imported; heart; raw,4.0 oz,119
Beef; New Zealand; imported; hind shin; separable lean and fat; cooked; braised,3.0 oz,167
Beef; New Zealand; imported; hind shin; separable lean and fat; raw,4.0 oz,166
Beef; New Zealand; imported; hind shin; separable lean only; cooked; braised,3.0 oz,142
Beef; New Zealand; imported; hind shin; separable lean only; raw,4.0 oz,129
Beef; New Zealand; imported; inside; raw,4.0 oz,145
Beef; New Zealand; imported; intermuscular fat; cooked,3.0 oz,476
Beef; New Zealand; imported; intermuscular fat; raw,4.0 oz,680
Beef; New Zealand; imported; kidney; cooked; boiled,3.0 oz,133
Beef; New Zealand; imported; kidney; raw,4.0 oz,98
Beef; New Zealand; imported; knuckle; cooked; fast fried,3.0 oz,151
Beef; New Zealand; imported; liver; cooked; boiled,3.0 oz,128
Beef; New Zealand; imported; liver; raw,4.0 oz,150
Beef; New Zealand; imported; manufacturing beef; cooked; boiled,3.0 oz,107
Beef; New Zealand; imported; manufacturing beef; raw,4.0 oz,134
Beef; New Zealand; imported; oyster blade; separable lean and fat; cooked; braised,3.0 oz,167
Beef; New Zealand; imported; oyster blade; separable lean and fat; raw,4.0 oz,201
Beef; New Zealand; imported; oyster blade; separable lean only; cooked; braised,3.0 oz,167
Beef; New Zealand; imported; oyster blade; separable lean only; raw,4.0 oz,175
Beef; New Zealand; imported; ribs prepared; cooked; fast roasted,3.0 oz,167
Beef; New Zealand; imported; ribs prepared; raw,4.0 oz,165
Beef; New Zealand; imported; rump centre; separable lean and fat; cooked; fast fried,3.0 oz,163
Beef; New Zealand; imported; rump centre; separable lean and fat; raw,4.0 oz,164
Beef; New Zealand; imported; rump centre; separable lean only; cooked; fast fried,3.0 oz,160
Beef; New Zealand; imported; rump centre; separable lean only; raw,4.0 oz,159
Beef; New Zealand; imported; striploin; separable lean and fat; cooked; fast fried,3.0 oz,256
Beef; New Zealand; imported; striploin; separable lean and fat; raw,4.0 oz,285
Beef; New Zealand; imported; striploin; separable lean only; cooked; fast fried,3.0 oz,184
Beef; New Zealand; imported; striploin; separable lean only; raw,4.0 oz,170
Beef; New Zealand; imported; subcutaneous fat; cooked,3.0 oz,621
Beef; New Zealand; imported; subcutaneous fat; raw,4.0 oz,774
Beef; New Zealand; imported; sweetbread; cooked; boiled,3.0 oz,270
Beef; New Zealand; imported; sweetbread; raw,4.0 oz,342
Beef; New Zealand; imported; tenderloin; separable lean and fat; cooked; fast fried,3.0 oz,172
Beef; New Zealand; imported; tenderloin; separable lean and fat; raw,4.0 oz,165
Beef; New Zealand; imported; tenderloin; separable lean only; cooked; fast fried,3.0 oz,170
Beef; New Zealand; imported; tenderloin; separable lean only; raw,4.0 oz,158
Beef; New Zealand; imported; tongue; cooked; boiled,3.0 oz,230
Beef; New Zealand; imported; tongue; raw,4.0 oz,275
Beef; New Zealand; imported; tripe uncooked; cooked; boiled,3.0 oz,88
Beef; New Zealand; imported; tripe uncooked; raw,4.0 oz,87
"Beef; plate steak; boneless; inside skirt; separable lean and fat; trimmed to 0"" fat; all grades; cooked; grilled",3.0 oz,208
"Beef; plate steak; boneless; inside skirt; separable lean and fat; trimmed to 0"" fat; all grades; raw",3.0 oz,159
"Beef; plate steak; boneless; inside skirt; separable lean and fat; trimmed to 0"" fat; choice; cooked; grilled",3.0 oz,215
"Beef; plate steak; boneless; inside skirt; separable lean and fat; trimmed to 0"" fat; choice; raw",3.0 oz,166
"Beef; plate steak; boneless; inside skirt; separable lean and fat; trimmed to 0"" fat; select; cooked; grilled",3.0 oz,198
"Beef; plate steak; boneless; inside skirt; separable lean and fat; trimmed to 0"" fat; select; raw",3.0 oz,148
"Beef; plate steak; boneless; inside skirt; separable lean only; trimmed to 0"" fat; all grades; cooked; grilled",3.0 oz,199
"Beef; plate steak; boneless; inside skirt; separable lean only; trimmed to 0"" fat; all grades; raw",3.0 oz,139
"Beef; plate steak; boneless; inside skirt; separable lean only; trimmed to 0"" fat; choice; cooked; grilled",3.0 oz,206
"Beef; plate steak; boneless; inside skirt; separable lean only; trimmed to 0"" fat; choice; raw",3.0 oz,145
"Beef; plate steak; boneless; inside skirt; separable lean only; trimmed to 0"" fat; select; cooked; grilled",3.0 oz,190
"Beef; plate steak; boneless; inside skirt; separable lean only; trimmed to 0"" fat; select; raw",3.0 oz,130
"Beef; plate steak; boneless; outside skirt; separable lean and fat; trimmed to 0"" fat; all grades; cooked; grilled",3.0 oz,248
"Beef; plate steak; boneless; outside skirt; separable lean and fat; trimmed to 0"" fat; all grades; raw",3.0 oz,197
"Beef; plate steak; boneless; outside skirt; separable lean and fat; trimmed to 0"" fat; choice; cooked; grilled",3.0 oz,255
"Beef; plate steak; boneless; outside skirt; separable lean and fat; trimmed to 0"" fat; choice; raw",3.0 oz,202
"Beef; plate steak; boneless; outside skirt; separable lean and fat; trimmed to 0"" fat; select; cooked; grilled",3.0 oz,239
"Beef; plate steak; boneless; outside skirt; separable lean and fat; trimmed to 0"" fat; select; raw",3.0 oz,189
"Beef; plate steak; boneless; outside skirt; separable lean only; trimmed to 0"" fat; all grades; cooked; grilled",3.0 oz,240
"Beef; plate steak; boneless; outside skirt; separable lean only; trimmed to 0"" fat; all grades; raw",3.0 oz,175
"Beef; plate steak; boneless; outside skirt; separable lean only; trimmed to 0"" fat; choice; cooked; grilled",3.0 oz,247
"Beef; plate steak; boneless; outside skirt; separable lean only; trimmed to 0"" fat; choice; raw",3.0 oz,180
"Beef; plate steak; boneless; outside skirt; separable lean only; trimmed to 0"" fat; select; cooked; grilled",3.0 oz,228
"Beef; plate steak; boneless; outside skirt; separable lean only; trimmed to 0"" fat; select; raw",3.0 oz,168
"Beef; plate; inside skirt steak; separable lean and fat; trimmed to 0"" fat; all grades; cooked; broiled",3.0 oz ( 1 serving ),187
"Beef; plate; inside skirt steak; separable lean only; trimmed to 0"" fat; all grades; cooked; broiled",3.0 oz ( 1 serving ),174
"Beef; plate; outside skirt steak; separable lean and fat; trimmed to 0"" fat; all grades; cooked; broiled",3.0 oz ( 1 serving ),217
"Beef; plate; outside skirt steak; separable lean only; trimmed to 0"" fat; all grades; cooked; broiled",3.0 oz ( 1 serving ),198
Beef; retail cuts; separable fat; cooked,1.0 oz,193
Beef; retail cuts; separable fat; raw,1.0 oz,191
"Beef; rib eye roast; bone-in; lip-on; separable lean and fat; trimmed to 1/8"" fat; all grades; cooked; roasted",3.0 oz,255
"Beef; rib eye roast; bone-in; lip-on; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,261
"Beef; rib eye roast; bone-in; lip-on; separable lean and fat; trimmed to 1/8"" fat; select; cooked; roasted",3.0 oz,246
"Beef; rib eye roast; bone-in; lip-on; separable lean only; trimmed to 1/8"" fat; all grades; cooked; roasted",3.0 oz,196
"Beef; rib eye roast; bone-in; lip-on; separable lean only; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,204
"Beef; rib eye roast; bone-in; lip-on; separable lean only; trimmed to 1/8"" fat; select; cooked; roasted",3.0 oz,186
"Beef; rib eye roast; boneless; lip-on; separable lean and fat; trimmed to 1/8"" fat; all grades; cooked; roasted",3.0 oz,248
"Beef; rib eye roast; boneless; lip-on; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,258
"Beef; rib eye roast; boneless; lip-on; separable lean and fat; trimmed to 1/8"" fat; select; cooked; roasted",3.0 oz,235
"Beef; rib eye roast; boneless; lip-on; separable lean only; trimmed to 1/8"" fat; all grades; cooked; roasted",3.0 oz,185
"Beef; rib eye roast; boneless; lip-on; separable lean only; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,195
"Beef; rib eye roast; boneless; lip-on; separable lean only; trimmed to 1/8"" fat; select; cooked; roasted",3.0 oz,172
"Beef; rib eye steak; bone-in; lip-on; separable lean and fat; trimmed to 1/8"" fat; all grades; cooked; grilled",3.0 oz,263
"Beef; rib eye steak; bone-in; lip-on; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; grilled",3.0 oz,266
"Beef; rib eye steak; bone-in; lip-on; separable lean and fat; trimmed to 1/8"" fat; select; cooked; grilled",3.0 oz,258
"Beef; rib eye steak; bone-in; lip-on; separable lean only; trimmed to 1/8"" fat; all grades; cooked; grilled",3.0 oz,188
"Beef; rib eye steak; bone-in; lip-on; separable lean only; trimmed to 1/8"" fat; choice; cooked; grilled",3.0 oz,195
"Beef; rib eye steak; bone-in; lip-on; separable lean only; trimmed to 1/8"" fat; select; cooked; grilled",3.0 oz,178
"Beef; rib eye steak; boneless; lip off; separable lean and fat; trimmed to 0"" fat; all grades; cooked; grilled",3.0 oz,230
"Beef; rib eye steak; boneless; lip off; separable lean and fat; trimmed to 0"" fat; all grades; raw",3.0 oz,194
"Beef; rib eye steak; boneless; lip off; separable lean and fat; trimmed to 0"" fat; choice; cooked; grilled",3.0 oz,242
"Beef; rib eye steak; boneless; lip off; separable lean and fat; trimmed to 0"" fat; choice; raw",3.0 oz,205
"Beef; rib eye steak; boneless; lip off; separable lean and fat; trimmed to 0"" fat; select; cooked; grilled",3.0 oz,211
"Beef; rib eye steak; boneless; lip off; separable lean and fat; trimmed to 0"" fat; select; raw",3.0 oz,177
"Beef; rib eye steak; boneless; lip off; separable lean only; trimmed to 0"" fat; all grades; cooked; grilled",3.0 oz,175
"Beef; rib eye steak; boneless; lip off; separable lean only; trimmed to 0"" fat; all grades; raw",3.0 oz,131
"Beef; rib eye steak; boneless; lip off; separable lean only; trimmed to 0"" fat; choice; cooked; grilled",3.0 oz,183
"Beef; rib eye steak; boneless; lip off; separable lean only; trimmed to 0"" fat; choice; raw",3.0 oz,138
"Beef; rib eye steak; boneless; lip off; separable lean only; trimmed to 0"" fat; select; cooked; grilled",3.0 oz,162
"Beef; rib eye steak; boneless; lip off; separable lean only; trimmed to 0"" fat; select; raw",3.0 oz,121
"Beef; rib eye steak; boneless; lip-on; separable lean and fat; trimmed to 1/8"" fat; all grades; cooked; grilled",3.0 oz,247
"Beef; rib eye steak; boneless; lip-on; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; grilled",3.0 oz,258
"Beef; rib eye steak; boneless; lip-on; separable lean and fat; trimmed to 1/8"" fat; select; cooked; grilled",3.0 oz,232
"Beef; rib eye steak; boneless; lip-on; separable lean only; trimmed to 1/8"" fat; all grades; cooked; grilled",3.0 oz,176
"Beef; rib eye steak; boneless; lip-on; separable lean only; trimmed to 1/8"" fat; choice; cooked; grilled",3.0 oz,184
"Beef; rib eye steak; boneless; lip-on; separable lean only; trimmed to 1/8"" fat; select; cooked; grilled",3.0 oz,163
"Beef; rib eye steak/roast; bone-in; lip-on; separable lean and fat; trimmed to 1/8"" fat; all grades; raw",3.0 oz,217
"Beef; rib eye steak/roast; bone-in; lip-on; separable lean and fat; trimmed to 1/8"" fat; choice; raw",3.0 oz,221
"Beef; rib eye steak/roast; bone-in; lip-on; separable lean and fat; trimmed to 1/8"" fat; select; raw",3.0 oz,211
"Beef; rib eye steak/roast; bone-in; lip-on; separable lean only; trimmed to 1/8"" fat; all grades; raw",3.0 oz,141
"Beef; rib eye steak/roast; bone-in; lip-on; separable lean only; trimmed to 1/8"" fat; choice; raw",3.0 oz,147
"Beef; rib eye steak/roast; bone-in; lip-on; separable lean only; trimmed to 1/8"" fat; select; raw",3.0 oz,132
"Beef; rib eye steak/roast; boneless; lip-on; separable lean and fat; trimmed to 1/8"" fat; all grades; raw",3.0 oz,207
"Beef; rib eye steak/roast; boneless; lip-on; separable lean and fat; trimmed to 1/8"" fat; choice; raw",3.0 oz,215
"Beef; rib eye steak/roast; boneless; lip-on; separable lean and fat; trimmed to 1/8"" fat; select; raw",3.0 oz,196
"Beef; rib eye steak/roast; boneless; lip-on; separable lean only; trimmed to 1/8"" fat; all grades; raw",3.0 oz,133
"Beef; rib eye steak/roast; boneless; lip-on; separable lean only; trimmed to 1/8"" fat; choice; raw",3.0 oz,137
"Beef; rib eye steak/roast; boneless; lip-on; separable lean only; trimmed to 1/8"" fat; select; raw",3.0 oz,126
"Beef; rib eye; small end (ribs 10-12); separable lean and fat; trimmed to 0"" fat; all grades; cooked; broiled",3.0 oz,212
"Beef; rib eye; small end (ribs 10-12); separable lean and fat; trimmed to 0"" fat; select; cooked; broiled",3.0 oz,199
"Beef; rib eye; small end (ribs 10-12); separable lean only; trimmed to 0"" fat; select; raw",3.0 oz,127
"Beef; rib; back ribs; bone-in; separable lean and fat; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,306
"Beef; rib; back ribs; bone-in; separable lean and fat; trimmed to 0"" fat; all grades; raw",3.0 oz,275
"Beef; rib; back ribs; bone-in; separable lean and fat; trimmed to 0"" fat; choice; cooked; braised",3.0 oz,316
"Beef; rib; back ribs; bone-in; separable lean and fat; trimmed to 0"" fat; choice; raw",3.0 oz,286
"Beef; rib; back ribs; bone-in; separable lean and fat; trimmed to 0"" fat; select; cooked; braised",3.0 oz,290
"Beef; rib; back ribs; bone-in; separable lean and fat; trimmed to 0"" fat; select; raw",3.0 oz,259
"Beef; rib; back ribs; bone-in; separable lean only; trimmed to 0"" fat; all grades; cooked; braised",3.0 oz,254
"Beef; rib; back ribs; bone-in; separable lean only; trimmed to 0"" fat; all grades; raw",3.0 oz,203
"Beef; rib; back ribs; bone-in; separable lean only; trimmed to 0"" fat; choice; cooked; braised",3.0 oz,260
"Beef; rib; back ribs; bone-in; separable lean only; trimmed to 0"" fat; choice; raw",3.0 oz,214
